City,Category,POI,Description,Country
Cairo,eat,Ataturk,"Turkish cuisine, though not vegetarian friendly.  No alcohol served.12",Egypt
Cairo,eat,Cafe Tabasco,"Sandwiches, pasta, chicken, beef, as well as American-style breakfast, coffee, tea, etc.",Egypt
Cairo,eat,Chili's,"Burgers, chicken, fajitas, other tex-mex options.",Egypt
Cairo,eat,Kandahar,"One of the best Indian restaurants in Cairo.  The food is more expensive, but the portions are large enough that dishes can be shared.",Egypt
Cairo,drink,Stiletto Lounge,"This nightclub is located right on the river side opposite to the Sheraton hotel (which it is part of). Rich Cairese and only few expats and tourists dance to house tunes. Drinks are pricey (50 EGP for a beer, 70 for a longdrink), very friendly staff. They aren't tight about the notorious ""couples only""- rule.",Egypt
Cairo,sleep,Concorde Hotel,"A simple hotel with all the basics, located near the noisy and busy Dokki Metro.",Egypt
Cairo,sleep,Havana Hotel,"25-room hotel, provides free internet.",Egypt
Cairo,sleep,King Hotel,"A well run hotel, in a quiet neighboorhood. Good value. Wifi is free and connection is fast and stable. Breakfast is good. Inside restaurant and rooftop bar, serve good food food, but a little pricey. Single/double 35US $/45US $ (jan 2009).",Egypt
Cairo,sleep,Superlux apartment,"Large furnished 3 bedroomed apartment available to rent by the day on a quiet residential street in a wealthy and safe area. Opulently furnished, wifi internet, full kitchen, washing machine etc. A nice alternative to Cairo's hotels, near lots of restaurants and shops, but away from the tourists.",Egypt
Cairo,sleep,Pyramisa Suites Hotel & Casino Cairo,"A 5 star hotel over looking the Nile, boasting big, elegant rooms and high quality restaurants.",Egypt
Cairo,sleep,Safir Hotel Cairo,Well decorated large rooms.,Egypt
Cairo,sleep,Sheraton Cairo,"Well run by friendly staff, the rooms are clean but a bit run down, with rust stains in the bathroom ceilings.  Hosting a nice pool and bar, as well as a number of on site places to grab a bite.  Located just on the Giza side of the Nile, between downtown and the Great Pyramids.",Egypt
Cairo,see,Abdeen Palace Museum,"Collections are showcased on the lower floors in the Silver Museum, the Arms Museum, the Royal Family Museum, and the Presidential Gifts Museum, and the Historical Documents Museum was added in 2006. The palace, designed in the 1800s by a French architect, is worth seeing including the fountain courtyard.",Egypt
Cairo,see,Karim Francis Gallery,An art gallery,Egypt
Cairo,see,Museum of Islamic Art,"Established in 1858 under authority of Khedive Tawfiq, the museum showcases pieces from mosques, homes, and palaces in Islamic Cairo.",Egypt
Cairo,see,The Postal Museum,"This museum holds a plethora of historical exhibits relating to all things postal, from the history of the post system dating back to the time of the Pyramids to extensive stamp collections.",Egypt
Cairo,see,Egyptian Museum,"A must for any visitor to Cairo. The Gold Room where King Tutankhamuns treasure is displayed is a 'must see', as is the Mummy Room. Warning, only the Gold Room and the Mummy Room are air conditioned, and you must pay an additional fee to see the Mummy Room. A brand new Egyptian Museum to replace this one is currently under construction close to the pyramids at Giza.",Egypt
Cairo,see,Yacoubian Building,"For readers of Alaa al Aswani's best selling book The Yacoubian Building. You can see the Yacoubian Building on Talaat Harb St where it still stands and where the story was based, although in the book it is referred to by its old name of Soliman Pasha St.",Egypt
Cairo,see,Prince Said Halim's Palace,"Now almost derelict and often misleadingly called the Champollion Palace, this once beautiful building is worth a look for its beautiful architecture, baroque and classical archways. Built in 1896 by designer Antonio Lasciac from imported Italian marbles and stone. This once beautiful palace and gardens are a reminder of the 'Glory days of Cairo'. The building was nationalized by President Nasser, and eventual transformed into Al Nassareya Boys School, which quickly destroyed the beautiful building. Today it is a temporary art gallery.",Egypt
Cairo,do,Cinema Metro,"Once one of Cairo's most opulent movie palaces, the Metro has fallen on sadly disheveled, dusty, almost squalid times.",Egypt
Cairo,do,Cairo Puppet Theatre,"A fantastic way to spend an afternoon with the kids. the Cairo Puppet Theatre puts on a variety of shows including myths, fairy tales and fun children's stories.",Egypt
Cairo,do,Ramses Hilton Cinema,"Theater at the Ramses Hilton shows modern, mainstream movies. Best to get there by taxi.",Egypt
Cairo,do,Visit Midan Falaki - Falaki Square,"Midan Falaki is a public square surrounded by coffee merchants and coffee shops. During the day you can sit and enjoy one of the many blends and play a game of backgammon with the more intellectual Egyptians who frequent the cafes during the day. However a more raucous clientele tends to congregate later in the evening. A nice place to people watch, and buy some unusual blends of coffee.<p>Ta'kiba Coffee shop is a short walk away by the wrongly named Champollion Palace,on Champollion Street,and round the corner from the Townhouse Gallery and Theater. The gallery has a clean toilet for public use.",Egypt
Cairo,buy,Madbouli,Mostly Arabic bookstore with a range of political literature and other books.,Egypt
Cairo,buy,Omar Effendi,"A large iconic Egyptian, 150 year old department store. Sadly, filled with Chinese and poorly made Egyptian clothing even now since its privatization and takeover by the Gulf Kuwaiti Sultan Centre Company.",Egypt
Cairo,buy,Sednaoui Department Store,"This once family-owned department store was nationalized in 1961 and now has the neglected feeling of an East German department store. It has 3 floors and has a grand sweeping staircase, and a glass roofed atrium worth seeing for that alone, if you like old architectural building designs. Sells very cheap fabrics on the 2nd floor where you can buy shirt, blouse, and curtain material and have made up by one of Cairo's many tailors.",Egypt
Cairo,buy,El Shawarby St,"The best street to bargain hunt for music, DVDs and clothes, don't be afraid to haggle, watch how the locals do it for tips.",Egypt
Cairo,buy,Shorouk Bookshop,"Located on Midan Talaat Harb, Shorouk has two floors with a good selection of both Arabic and English language books.",Egypt
Cairo,buy,Talaat Harb Mall,Most famous for its downstairs fast food restaurants. Many cheap clothes stores are also in the vicinity of the mall which is located just above Midan Talaat Harb.,Egypt
Cairo,buy,Attaba Bookstalls,"Over 100 new and second hand book stalls all displayed in little Arabesque kiosks. Every type of book and magazine available in many languages. Usually hassle free and sellers are content to let you browse in peace. Always barter, and the price will come down the more you buy. Very old books and classics up to newly released novels and magazines. A great place to find treasures and find a few books for your trip. Visit Mahmoud at kiosks 83 and 84 for a great selection of used English books and a fair price. Many books are under 10LE each.",Egypt
Cairo,buy,AUC Bookstore,Great bookstore just minutes away from Cairo Museum in the AUC Hill House campus. Excellent selection of new books and all the usual Egyptian authors' works can be found there amongst the latest releases.,Egypt
Cairo,buy,Al Bostan Mall,"Large old mall mainly selling computers, second-hand PCs and laptops, and computer accessories with some clothing and footwear stores and a few airline offices. Toilets on each of the 4 floors.",Egypt
Cairo,eat,Hardees,On Midan Tahrir Sq itself. delivery 19066. Free Wifi.,Egypt
Cairo,eat,McDonalds,On Midan Tahrir Sq itself. Delivery 19991. Free Wifi,Egypt
Cairo,eat,K.F.C.,On Midan Tahrir Sq itself. Delivery 19019. Free Wifi,Egypt
Cairo,eat,Quick Sandwich,"A pioneer in the Egyptian based chains offers some of the best shawerma rolls and shish-kebab sandwiches, excellent value meals and great taste- delivery is an option by calling 16013. relatively cheap.",Egypt
Cairo,eat,GAD,"Fast Food Restaurant, done Egyptian style. Usually very busy packed with locals, but very good food at a very non-tourist price. Good fuul and falafel for about 1.5 LE a sandwich. Large restaurant located on 26th July St, just off Talaat Harb St, in downtown Cairo. A large schawerma 'Doner kebab sandwich' costs 8 LE.",Egypt
Cairo,eat,Al Tazaj Fakieh,"Kebab with a chicken twist, this Cairo chain serves up chicken in all it's oriental varieties.",Egypt
Cairo,eat,Alfi Bey,"Egyptian cuisine is served in this small restaurant, including kofta, kabobs, stuffed pigeon, lamb, and chicken.",Egypt
Cairo,eat,The Greek Club,"5 LE entrance fee, open from 19:00. Mostly frequented by liberal and leftist Egyptians rather than Greeks, this is one of the best restaurants in Downtown Cairo. The Greek food offered is limited and the menu often erratic, but the dishes they do have in supply are very good and cheap. Alcohol (including imported spirits) is served and it's possible to just have a drink. Some of the best Kofte in Cairo. Closes down completely during Ramadan.",Egypt
Cairo,eat,Felfela,"A Cairo institution, this restaurant represents the original flagship of the now burgeoning Felfela chain of restaurants throughout Cairo. Long wooden tables and eclectic, somewhat kitschy décor: aquariums, clocks, half-lit grottos complete with mini-waterfalls. Somehow it all works. Specializes in classic Egyptian cuisine. The vegetarian dishes are better than the meat. Try the lemonade - perfect refreshment on a hot day! Also serves beer. Credit cars not accepted.",Egypt
Cairo,eat,Groppi's,"Situated on the square itself is the once opulent Groppi's, formerly the most famous café, tearoom and patisserie in Egypt. Between the 1920s and early 1950s, Groppi's was the place to be seen by Cairene society. Its former glories stripped away to dusty memories, Groppi's is nonetheless still just open for business. Be sure to check out the ornate mosaics around the doorway - a relic of former times.",Egypt
Cairo,eat,La Chesa,"Serving fondues, and other traditional Swiss dishes, pizza, salads and patisseries, this is one of the better continental restaurants in Downtown Cairo.",Egypt
Cairo,eat,After Eight,Brassiere cum night club serving cocktails and Middle Eastern cuisine. Excellent service with life band and DJ.,Egypt
Cairo,eat,Cafe Riche,"Another place of forlorn glory. Very popular with tourists, but the reasons for fame are questionable, it's rather expensive for what you get and service is slow, even for Cairo.",Egypt
Cairo,eat,Peking,"Branch of the Cairo Peking restaurant chain. All their branches offer relatively predictable, but very good Chinese food.",Egypt
Cairo,eat,Da Mario Italian restaurant,Authentic Italian cuisine and good service.,Egypt
Cairo,eat,Maharajah restaurant,Exotic Indian dining experience.,Egypt
Cairo,eat,Windows on the World restaurant,International cuisine with cocktails and evening entertainment served in the 36th floor restaurant with stunning panoramic views over the Nile and to the pyramids beyond,Egypt
Cairo,drink,Bursa,This cluster of coffee shops in carless streets are accessed from Qasr-El-Nil/Sherif. It is a very popular place among young democracy activists and members of oppositional movements and lively until late night.,Egypt
Cairo,drink,Tawfiqiyya Souq,This is another street with lots of coffee shops and lots of atmosphere.,Egypt
Cairo,drink,Houria,"This place doubles as coffee shop and bar, making it quite unique in Cairo. Some of the cheapest beer you can get in Cairo and given that this is also one of the least sleazy of the cheap downtown bars, there's no reason not to rave about the place. Reopened in May 2010 and as busy as always. 11 EP for a bottle of Stella; amazingly good service, but the waiters are equally insistent on a spot of baksheesh.",Egypt
Cairo,drink,Odeon,"This roof-top open-air hotel bar is also a restaurant, but most visitors prefer just to drink or have shisha. Beer (Stella or Saqqara) is 15 EP. Very popular among backpackers and foreign students. Open during Ramadan. Nice place to sit and have a drink, but poor service.",Egypt
Cairo,drink,Sherlock Holmes pub,"Atmospheric British style pub with warm cosy atmosphere. Local and imported alcohol , moderate prices.",Egypt
Cairo,sleep,Arabesque Hotel,"Located right next to the Egyptian Museum and Nile it's a great place to start exploring the city. The rooms are comfortable and the staff are friendly though somewhat unprofessional. The common room offers fantastic floor to ceiling windows for wonderful views of the city. Rooms start from 115 EGP. Note that after the 2011 revolution, rooms can be bargained down to less than half that by a skilled bargainer.",Egypt
Cairo,sleep,Arabian Nights Hostel,"A very fun hotel located next to Khan el Khalily and near the Citadel. Staff are very friendly and helpful. There is a great view from the roof, with an Arabian style tent set up. They are now having a free Sufi dancing show on their roof every Sunday. Comfortable clean rooms, good help with trip ideas and Cairo tips. Free wifi, air conditioning, breakfast and as many hot drinks as you want. Rooms start from 80 Egyptian pounds.",Egypt
Cairo,sleep,Australian Hostel,"Nice clean rooms, Friendly staff and AlTahrir Kosheri is just around the corner. Centrally located but hard to find. Just past the KFC and Radioshack, on the third Floor.",Egypt
Cairo,sleep,Berlin Hotel,"Budget style hotel on the lower end of the scale. Lift broken, no bathroom in room. central Cairo,WiFi is available free of charge",Egypt
Cairo,sleep,Brothers Hostel/Hotel,"Extremely friendly atmosphere, very comfortable beds, clean, the staff is always willing to help, including booking affordable trips, bus tickets and explaining/giving recommendations about their city. This hotel-hostel is in the famous Yacoubian Building. Dorms from 50 EGP, central location, 24 hour reception and security, free wifi and internet access, air conditioning, airport transfers and breakfast included.",Egypt
Cairo,sleep,Cairo Downtown Hotel,"We have old colonial building from the earlier British era the interior has very high ceilings, large rooms, beautiful polished wood floors, iron balconies, and comfortable beds. Our rates is affordable so you can enjoy the Middle East even if you are traveling on a budget.We keep our hotel clean and comfortable so our guests can relax after enjoying their time in Egypt.",Egypt
Cairo,sleep,Cairo Moon Hotel,"A beautifully designed hotel with lots of open space and a gorgeous terrace where you can have breakfast overlooking Cairo. The rooms are large with high ceilings and lots of light. They offer free breakfast, wireless internet and hot drinks throughout the day. Dorms are 60 EGP and rooms start from 100 EGP.",Egypt
Cairo,sleep,Cecilia Hostel,"Generally pretty grungy. Things are not particularly clean, but the staff is generally nice. Free wifi, but slow.",Egypt
Cairo,sleep,Dahab Hostel,"This low-key, basic hostel is popular with the ""no frills"" travelers who want a basic room redolent of a Dahab beach experience in the big city and not much else. The Dahab is basically a collection of rooms on a rooftop in the Downtown area. WiFi is Free!",Egypt
Cairo,sleep,Dina's Hostel,"Old world charm, tall ceilings, beautiful architectural details, extremely clean rooms (bed and bath) and helpful staff. Some rooms have AC and private bathrooms others have fans and share bath. Just let them know which you prefer and they are happy to accommodate you. Very approachable and open for cultural exchange and discussion about Egypt.",Egypt
Cairo,sleep,Each Way Hotel,"This is a new place in Cairo designed for all budget travelers. Established on July 2008, Each Way Hostel is in a pleasant, quiet area Talaat Harb Street(Downtown), only a short walk from Talaat Harb Square. It is a clean, economical place and close to Egyptian museum and several other main sights with several transport options available.",Egypt
Cairo,sleep,Egyptian Night Hotel,"This is a cozy new hostel located directly across from the Egyptian Museum, with views of the Nile. The inside is colorful, with very friendly staff. Many of the rooms come with balconies. Free WiFi. They offer a good continental breakfast with drip coffee. Dorm rooms 70 EGP. Private rooms starting from 25 USD.",Egypt
Cairo,sleep,Jasmine Hostel,Very clean hostel in downtown. Rooms are nice and big. Friendly staff and free WiFi. Private rooms start from 70 EGP.,Egypt
Cairo,sleep,Juliana Hotel,"WiFi, Internet and printer for free, breakfast included, questionably clean and somewhat cramped rooms a few with Balcony, some with A/C, TV and original parquet wood floors, towels daily. The Egyptian staff may not understand English.",Egypt
Cairo,sleep,Let Me Inn,"Very friendly homely and comfortable hostel with fantastic staff, internet and laundry etc. Rooms are good too. A great place to meet other travelers and to get away from the hustle bustle. A backpacker favorite.Dorms $5-10",Egypt
Cairo,sleep,Lialy Inn,"One of the best hostels in Cairo, clean rooms with breakfast, cheap, friendly staff and a great location. They have free WiFi and a free airport pick-up service if you going to stay for two nights or more or if you are in a group of two of more people. The new owner is a really cool and laid back guy. Also all artists are welcome to come and practice their art. $8",Egypt
Cairo,sleep,Luna Hotel,"One of the best hostels in Cairo, Hostel/Hotel Luna offers both quiet and noisy rooms (depending on the orientation towards Sharia Talaat Harb, incredibly noisy street below), for prices that soared lately, but the cleanliness of rooms is beyond comparison.",Egypt
Cairo,sleep,New Palace Hotel,"Friendly staff, breakfast included, internet and printer access, free WiFi, rooms with bathroom and AC. 24h/day rooftop restaurant with a peaceful atmosphere, billard table and satellite TV.",Egypt
Cairo,sleep,Nubian Hostel,Comfortable and clean hostel in downtown. On a side street so it's relatively quiet. The staff are friendly and relaxed. Free WiFi.,Egypt
Cairo,sleep,Rotana Palace Hostel,"Don't confuse it with luxury Rotana ''Hotel''. Still, clean rooms, Satellite TV, free WiFi, modern rooms, breakfast included single ensuite 120LE.",Egypt
Cairo,sleep,Sultan Hotel,"Homely family atmosphere, satellite TV, kitchen. Popular with Japanese. In the same building are also the Safary Hotel and the Venice Hosokawaya Hotel.",Egypt
Cairo,sleep,Traveler's House Hotel,"A new hotel in Cairo. Situated in downtown near the Orabi Metro station. Nice clean rooms with high ceilings and large windows. A large common room with a balcony is perfect for hanging out at the end of the day. Free breakfast, wireless internet and hot drinks throughout the day.",Egypt
Cairo,sleep,Tulip Hotel,"Strategically located right in the heart of historical Cairo most exclusive district and is only minutes away from downtown. Recently renovated our hotel. Nice high ceilings, large rooms, beautiful iron balconies and comfortable beds.",Egypt
Cairo,sleep,Venice Hosokawaya,"Venice Hosokawaya Hotel was established in January 2008, after a complete renovation and staff replacement of the old Venice Hotel. Popular with Japanese and the owner is Japanese national , staff can speak English , Japanese , Arabic . clean and comfortable . Free breakfast , Free wireless internet , Free kitchen.Dorm room is 35LE , Private room from 95LE",Egypt
Cairo,sleep,Rooms in Cairo,"This is an Irish couple subletting apartments to holidaymakers and short-term visitors. Very comfortable accommodations, air-con in bedrooms and breakfast is included. Excellent location and the added benefit of having fully equipped modern kitchen. Excellent for families.",Egypt
Cairo,sleep,Talisman Hotel de Charme,"Located on the 5th floor of an older building, the outside of the hotel may not be impressive, but this 25-room hotel provides clean, nicely decorated rooms, private marble bathrooms, air conditioning, free internet, and breakfast. The staff is friendly and helpful, providing high-end service.",Egypt
Cairo,sleep,Ritz Carlton Cairo,Adjacent to Egyptian museum. However closed for the time being.,Egypt
Cairo,sleep,Ramsis Hilton Hotel,"Business center, fitness center, outdoor pool, various restaurants and bars.",Egypt
Cairo,see,Beit El-Sennari,"Built in 1794 by Ibrahim Katkhuda El-Sennari, a Sudanese occultist, Beit al-Sennari housed French artists and scholars after Napoleon arrived. The house was restored in 1995, and opened to the public in 2000. The house is home to the Institute for Applied Arts, which has glassware, pottery, and other works on display. You can also see the courtyard and open gardens, and the various sections of the house.",Egypt
Cairo,see,Egyptian Parliament and Museum,For those who take a political interest take the time to tour the Egyptian Parliament home to both the People (454 members) and the Shura Council (264 members) - this is the epicenter of the Egyptian government. There are tours offered and a museum chronicling the Egyptian government.,Egypt
Cairo,see,Ethnological Museum,"Part of the Geographical Society created by Khedive Ismail in 1895, this rather neglected museum displays more modern Egyptian cultural artifacts, and examples of daily life.",Egypt
Cairo,do,Fellucca tour,Sail over the Nile in an original Egyptian ship. Felluccas are waiting in front of the Four Seasons Hotel. No reservation needed. In the summer it is recommended to sail a Fellucca late in the evening or at night because of the heat during the day. The view at night is also very spectacular. As with most things in Egypt negotiating about the price is needed. 50 LE for an hour is a reasonable price.,Egypt
Cairo,do,Corniche,"An evening stroll along the Corniche is always a good idea. Take a stroll up to the Qasr el-Nil Bridge, where you can see the lion statues at the foot of the bridge. Qasr el-Nil Bridge is a popular spot for young Egyptian couples to have an inexpensive date. Many couples stay out for hours on the bridge, where you can often find vendors renting plastic chairs by the hour, and selling roasted lib (peanuts, pumpkin seeds) in small paper cones, and hot sweet tea served in glasses. Occasionally you will see amateur fishermen landing Nile perch from the bridge. A great place to see the lights over Cairo city at night.",Egypt
Cairo,do,Scarabee,"Enjoy a romantic evening cruising the Sofitel owned M/S Scarabee on the Nile. Scarabee offers belly dancing, live music, and international cuisine, grilled meats, and vegetable platters served buffet style.",Egypt
Cairo,do,Marquis Cruise,"Enjoy a drink and cruise up the Nile in the evening on deck in the Moonlight Cafe, or enjoy lunch or dinner downstairs in the Baccarat Restaurant aboard the Grande Hyatt's private yacht the Marquis. Lunch is served 14.30 till 16.30. Dinner served 20.00 till 22.00. Reserve seats at Hyatt reception.",Egypt
Cairo,do,Walking Tour,"Garden City is a great place to wander around admiring architecture. Its streets are filled with what once were beautiful palaces and villas, homes to the elite of Cairo.  A few buildings worth mentioning are the British Embassy (Bayt al Lourd) on Ahmed Ragab Street. A beautifully designed building with extensive grounds which can be viewed from the main street. Built in 1894 it became the focal point of many interesting historical meetings. Two of them worth mentioning are the garden of the embassy was the meeting place where Lord Mountbatten Viceroy of India and uncle to Prince Philip of Greece, later to become the Duke of Edinburgh, husband of Queen Elizabeth the first of Great Britain, where Lord Mountbatten first spoke of the betrothal of the then Princess Elizabeth in marriage. It was also from the British Embassy that in 1942 the British Envoy Sir Miles Lampson drove in a military cortege to the Palace of Abdeen to give the then King Farouk a choice of appointing a pro-British cabinet or abdicate.  The Grey Towers Building at 10 Itihad el Mohamyeen el Arab St, Garden City, also known as 10 Downing Street as it was the British Army's GHQ during World War 2, where in August 1971 British Secretary of State Oliver Lyttelton and General Charles De Gaulle of France negotiated and signed documents recognising the independence of both Syria and Lebanon, from French and British protectorates. Much history lies in these villas and palaces which fill Garden City, and architects can marvel at the various styles evident in the various facades.",Egypt
Cairo,eat,Foul Mahous,"The best foul in Cairo, don't let the looks of what is basically a stand with tables in the road fool you.",Egypt
Cairo,eat,Pyramids,"A local fast food joint with the standard Middle Eastern fare, delivery.",Egypt
Cairo,eat,Abou Shakra,Abou Shakra is a chain restaurant with an Middle Eastern/ Northern African menu and the occasional french fry.,Egypt
Cairo,eat,Bird Cage,"Thai cuisine, located on the second floor of the Semiramsis InterContinental Hotel.",Egypt
Cairo,eat,El Cinzano,"Italian restaurant, near the embassies, featuring homemade pasta and other dishes.",Egypt
Cairo,eat,Revolving Restaurant,"Located on the 41st floor, the Revolving Restaurant offers cocktails and French cuisine, with splendid views of the Nile.  Reservations required and dress code (no jeans).",Egypt
Cairo,eat,Spice,"Cantonese cuisine served in an elegant setting, with dim sum buffet on Friday afternoons 1300-1600. Dress smart casual.",Egypt
Cairo,eat,Tabouleh,Reservations are essential at this very popular Lebanese restaurant. A very wide range of Lebanese mezzeh is offered.,Egypt
Cairo,sleep,Garden City House Hotel,"Used to be a well-run hotel owned by Italians, now just an average, grimy but functional hotel. The staff isn't particularly the best but the bedding is clean and the rooms are big. A variety of rooms from those with air conditioning and bathroom to those with no air conditioning and a shared bathroom.",Egypt
Cairo,sleep,Juliana Hotel,"Located on the third floor of an office building, this hotel offers free WiFi, breakfast, modest rooms with budget design, small double beds, and towels daily. You will have to ride an elevator up to the hotel and meander to the lobby.",Egypt
Cairo,sleep,El Nil Hotel,3 star status.,Egypt
Cairo,sleep,Four Seasons Hotel Cairo at Nile Plaza,"Everything you would expect from this chain of hotels, with many rooms overlooking the Nile.",Egypt
Cairo,sleep,Grand Hyatt Cairo,"A semicircular hotel situated on the North tip of Rhoda Island, linked to the city center by a private bridge, and approximately 14 miles from Cairo International Airport. Has a revolving restaurant, a pool and great views of the city.  An attached shopping mall with food court and a range of restaurants in the hotel with a terrace overlooking the fountain in the Nile make for an incomparable view if you eat outside.  The food is good quality but there is no alcohol served in the restaurants, except for the Hard Rock Cafe.",Egypt
Cairo,sleep,Helnan Shepard's,Views of the Nile from elegant rooms and enjoyable bars/restaurants.,Egypt
Cairo,see,Cairo Tower,"A distinctive landmark visible from most of downtown Cairo, the Cairo Tower was completed in 1961 and reaches a height of 187 m. Great day and night views over central Cairo and to the Pyramids from the revolving café and restaurant at the top. Be wary of security guards who will give 'tours' of the area and demand large tips, and note that the café requires a minimum expenditure of 30 LE. Although it's not written in Arabic or English at the ticket booths, Egyptians visit for 20 L.E. Unlike most sights in Egypt, there is no secondary student pricing.",Egypt
Cairo,see,Gezira Centre of Arts,Displays an interesting collection of Islamic ceramics and galleries for temporary art exhibitions.,Egypt
Cairo,see,Khan al-Maghraby,"Small, one-room gallery features young Egyptian artists",Egypt
Cairo,see,Museum of Islamic Ceramics,The museum is located in the former palace of Prince Amru Ibrahim in Zamalek.,Egypt
Cairo,see,Picasso Gallery,Contemporary Egyptian art gallery,Egypt
Cairo,see,Safar Khan Gallery,Contemporary Egyptian art gallery,Egypt
Cairo,see,Zamalek Art Gallery,Features modern Egyptian art.,Egypt
Cairo,do,Cairo Opera House,"Egypt's most important cultural stage, home to much more than just the opera. Founded in 1869 as the Royal Opera House by Khedive Ismail,, who commissioned Verdi's ''Aida'', the original building was destroyed in a fire in 1971, so an entirely new one was built and opened in 1988. Today, it has two halls that can house 1300 and 500 people, as well as an outdoor theatre, and there are cultural performances virtually every night.",Egypt
Cairo,do,El-Sawy Cultural Wheel,"An outdoor concert scene with modern Egyptian groups playing both Western and oriental music. The music might differ in quality, but it's a good place to meet young Egyptians. No alcohol.",Egypt
Cairo,do,Gezira Sporting Club,"Includes four restaurants, swimming, lighted tennis, tennis pros and lessons, table tennis, squash, croquet, playing fields, walking tracks, exercise facilities, equestrian, basketball, children's play areas, saunas, bridge and board games.",Egypt
Cairo,do,Gezira Golf Club,"A large public golf course. Admission for non-members is LE 20, tournament fees are LE 40.",Egypt
Cairo,do,Gezira Table Tennis,Located at the center court and headed by Capt. Ibrahim Gouda. The table tennis team includes 76 players of ages ranging between 6 and 21 years. A table tennis school is also available for young club members.,Egypt
Cairo,do,Nile Maxim,"Dinner cruise ship, operated by the Marriott, offers an ala carte menu, along with belly dancing, music, and other entertainment.",Egypt
Cairo,buy,American University in Cairo Bookstore,Smaller version of the main campus bookstore downtown. Featuring AUC Press publications and more.,Egypt
Cairo,buy,Alef Bookstore,"Provides a variety of book genres with personalized service in a cozy atmosphere for browsing and selecting books, plus reading area.",Egypt
Cairo,buy,Diwan,"Possibly Cairo's best English-language bookstore, also carries Egyptian and western music, videos and DVDs. A small cafe serves coffee and pastries.",Egypt
Cairo,buy,Zamalek Bookstore,"Small bookstore, with a large selection of English children's books and stationary products.",Egypt
Cairo,buy,Concrete,"Has high quality men's dress shirts that rivals anything in London, Paris, or Milan, and does free custom tailoring for trousers and suits. Ties are over priced, but otherwise, the prices are extremely reasonable given the quality.",Egypt
Cairo,buy,Mobacco Cottons,"Sells high-quality Egyptian cotton clothing, most of which is made in Egypt and exported. Prices are higher than other stores in Egypt, but the quality is comparable to stores in the US and Europe.",Egypt
Cairo,buy,Sekem,Cairo's only organic food/health product store.,Egypt
Cairo,eat,La Trattoria,"Excellent Italian food. Owned, and run, by the son of the famous actor Omar Sharif.",Egypt
